#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
165	816.571	8380.11	0	4942.97	79980.1	93303.1
166	816.571	8455.52	0	4977.11	79980.1	93412.7
167	816.571	8477.14	0	4999.95	79980.1	93457.2
168	816.571	8474.93	0	5006.65	79980.1	93461.6
169	816.571	8363.22	0	4994.47	79980.1	93337.8
170	816.571	8338.98	0	4974.32	79980.1	93293.4
171	816.571	8373.74	0	4992.52	78265.3	91631.6
172	816.571	8432.6	0	5008.39	78265.3	91706.3
173	816.571	8467.3	0	5032.42	78265.3	91765
174	816.571	8481.48	0	5037.14	77443.3	90962
175	816.571	8461.97	0	5029.24	77443.3	90934.6
176	816.571	8397.65	0	5044.69	77443.3	90885.7
177	816.571	8406.86	0	5058.21	77443.3	90908.4
178	816.571	8414.08	0	5094.32	77443.3	90951.7
179	816.571	8453.22	0	5130.12	77443.3	91026.7
180	816.571	8542.28	0	5130.93	77443.3	91116.6
181	816.571	8553.73	0	5153.44	77443.3	91150.5
182	816.571	8570.07	0	5175.54	77443.3	91188.9
183	816.571	8583.55	0	5214.96	77443.3	91241.8
184	816.571	8683.36	0	5191.63	77443.3	91318.3
185	816.571	8768.88	0	5236.19	77443.3	91448.4
186	816.571	8731.27	0	5221.59	77443.3	91396.2
187	816.571	8736.83	0	5228.34	77443.3	91408.5
188	816.571	8859.69	0	5231.09	77443.3	91534.1
189	816.571	8845.23	0	5200.06	76643.3	90688.6
190	816.571	8815	0	5185.9	76643.3	90644.2
191	816.571	8797.62	0	5189.11	76643.3	90630
192	816.571	8777.45	0	5184.93	70911.6	84874
193	816.571	8777.19	0	5187.54	70911.6	84876.4
194	816.571	8752.12	0	5173.57	70911.6	84837.3
195	816.571	8882.13	0	5183.58	70911.6	84977.3
196	816.571	8886.09	0	5166.26	70911.6	84964
197	816.571	8832.37	0	5162.87	70266.4	84261.7
198	816.571	8666.75	0	5137.47	70266.4	84070.7
199	816.571	8696.91	0	5171.53	70266.4	84134.9
200	816.571	8684.01	0	5161.1	70266.4	84111.6
201	816.571	8699.47	0	5160.59	70266.4	84126.5
202	816.571	8684.39	0	5148.4	70266.4	84099.2
203	816.571	8636.64	0	5138.05	70266.4	84041.1
204	816.571	8650.05	0	5147.34	70266.4	84063.8
205	816.571	8631.29	0	5135.1	70266.4	84032.8
206	816.571	8637.44	0	5106.45	69634.8	83378.7
207	816.571	8657.54	0	5108.23	70266.4	84032.2
208	816.571	8689.79	0	5099.04	70266.4	84055.3
209	816.571	8669.64	0	5083.98	70266.4	84020.1
210	816.571	8704.82	0	5082.03	69634.8	83421.7
211	816.571	8757.4	0	5040.23	69634.8	83432.5
212	816.571	8710.69	0	5033.25	69634.8	83378.8
213	816.571	8711.46	0	5034.78	69634.8	83381.1
214	816.571	8703.45	0	5012.63	69634.8	83350.9
215	816.571	8667.65	0	4995.25	69634.8	83297.7
216	816.571	8626.88	0	4957.96	69016.3	82601.1
217	816.571	8674.48	0	4943.77	69016.3	82634.5
218	816.571	8709.88	0	4912.32	69016.3	82638.5
219	816.571	8702.67	0	4889.57	69016.3	82608.5
220	816.571	8713.76	0	4874.68	69016.3	82604.7
221	816.571	8709.01	0	4861.49	69016.3	82586.8
222	816.571	8651.2	0	4850.7	69016.3	82518.2
223	816.571	8633.55	0	4832.67	69016.3	82482.5
224	816.571	8632.25	0	4835.3	69016.3	82483.8
225	816.571	8653.62	0	4805.49	69016.3	82475.4
226	816.571	8534.45	0	4798.08	69634.8	82967.4
227	816.571	8539.14	0	4789.8	69634.8	82963.8
228	816.571	8546.24	0	4786	69634.8	82967.1
229	816.571	8533.52	0	4775.21	69634.8	82943.6
230	816.571	8552.21	0	4792.72	69634.8	82979.8
231	816.571	8531.15	0	4776.06	69634.8	82942.1
232	816.571	8518.37	0	4776.49	69634.8	82929.7
233	816.571	8546.13	0	4797.79	69634.8	82978.8
234	816.571	8592.52	0	4781.85	69634.8	83009.2
235	816.571	8721	0	4826.95	69634.8	83182.8
236	816.571	8683.14	0	4796.37	69016.3	82495.8
237	816.571	8652.69	0	4775.93	69016.3	82444.9
238	816.571	8649.03	0	4762.25	69016.3	82427.5
239	816.571	8637.62	0	4757.55	69016.3	82411.4
240	816.571	8626.81	0	4756.8	69016.3	82399.9
241	816.571	8573.7	0	4720.34	68410.2	81704.2
242	816.571	8578.54	0	4706.84	68410.2	81695.6
243	816.571	8582.11	0	4724.45	69016.3	82322.8
244	816.571	8641.36	0	4733.2	69016.3	82390.8
245	816.571	8691.61	0	4720.24	69016.3	82428.1
246	816.571	8667.7	0	4735.18	69016.3	82419.1
247	816.571	8698.08	0	4751.08	69016.3	82465.4
248	816.571	8691.21	0	4742.36	69016.3	82449.8
249	816.571	8655.7	0	4712.62	69016.3	82384.6
250	816.571	8674.82	0	4722.11	69016.3	82413.2
251	816.571	8538.94	0	4706.58	69016.3	82261.8
252	816.571	8520.76	0	4688.36	69016.3	82225.4
253	816.571	8503.88	0	4665.75	68410.2	81579.8
254	816.571	8515.6	0	4670.4	68410.2	81596.2
255	816.571	8488.83	0	4675.72	68410.2	81574.7
256	816.571	8575.08	0	4677.56	68410.2	81662.8
257	816.571	8581.67	0	4734.44	68410.2	81726.3
258	816.571	8580.55	0	4727.54	68410.2	81718.3
259	816.571	8604.49	0	4756.31	69016.3	82377.1
260	816.571	8541.68	0	4727.03	68410.2	81678.9
261	816.571	8522.92	0	4707.83	68410.2	81640.9
262	816.571	8411.76	0	4700.67	68410.2	81522.6
263	816.571	8432.02	0	4711.03	68410.2	81553.2
264	816.571	8414.61	0	4712.76	67816.1	80943.5
265	816.571	8412.8	0	4725.85	67816.1	80954.8
266	816.571	8415.52	0	4744.65	67816.1	80976.3
267	816.571	8405.02	0	4731.08	67816.1	80952.2
268	816.571	8367.48	0	4712.49	67816.1	80896.1
269	816.571	8350.86	0	4696.48	67816.1	80863.5
270	816.571	8316.26	0	4693.38	67816.1	80825.7
271	816.571	8302.35	0	4670.86	66662.1	79635.3
272	816.571	8329.53	0	4695.73	66662.1	79687.4
273	816.571	8354.98	0	4724.28	66662.1	79741.4
274	816.571	8281.82	0	4701.07	66662.1	79645
275	816.571	8261.9	0	4687.67	66662.1	79611.7
276	816.571	8294.71	0	4712	66662.1	79668.8
277	816.571	8316.26	0	4709.93	66662.1	79688.3
278	816.571	8274.39	0	4682.71	66101.4	79058.5
279	816.571	8256	0	4679.61	66101.4	79037
280	816.571	8222.52	0	4678.32	66101.4	79002.2
281	816.571	8168.35	0	4671.48	66101.4	78941.2
282	816.571	8161.24	0	4655	66101.4	78917.6
283	816.571	8158.04	0	4669.7	66101.4	78929.1
284	816.571	8121.3	0	4643.53	66101.4	78866.2
285	816.571	8085.76	0	4608.44	65550.9	78245.1
286	816.571	8063.17	0	4574.63	58747.7	71385.5
287	816.571	8117.48	0	4592.6	58747.7	71457.8
288	816.571	8065.67	0	4586.52	58316	70968.2
289	816.571	8098.3	0	4586.3	58316	71000.6
290	816.571	8093.3	0	4583.83	58316	70993.1
291	816.571	8087.32	0	4555.28	58316	70958.6
