#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
177	804.897	6962.15	0	5163.16	62940.5	75065.9
178	804.897	6999.06	0	5122.31	62444.7	74566
179	804.897	6991.84	0	5124.37	62444.7	74560.9
180	804.897	6997.8	0	5135.09	62940.5	75073.4
181	804.897	7011.27	0	5146.64	62940.5	75098.4
182	804.897	7143.83	0	5152.91	62940.5	75237.3
183	804.897	7102.89	0	5160.17	62940.5	75203.6
184	804.897	7076.75	0	5185.14	62940.5	75202.4
185	804.897	7084.76	0	5187.6	62940.5	75212.9
186	804.897	7066.6	0	5162.78	62940.5	75169.9
187	804.897	7093.3	0	5143.35	62940.5	75177.2
188	804.897	7081.33	0	5163.39	63444.8	75689.5
189	804.897	7093.6	0	5122	62940.5	75156.1
190	804.897	7093.32	0	5109.92	62940.5	75143.8
191	804.897	7080.98	0	5120.42	62940.5	75141.9
192	804.897	7064.61	0	5089.43	62444.7	74598.7
193	804.897	7062	0	5074.3	62444.7	74581
194	804.897	7053.18	0	5041.17	61956.8	74051.2
195	804.897	7074.9	0	5043.31	61956.8	74075
196	804.897	7065.16	0	5043.37	61956.8	74065.4
197	804.897	7010.64	0	5003.91	61476.8	73491.4
198	804.897	6994.66	0	4995.82	61476.8	73467.3
199	804.897	7006.26	0	4968.83	61476.8	73451.9
200	804.897	6957.32	0	4945.52	61476.8	73379.7
201	804.897	7112.16	0	4960.84	61476.8	73549.8
202	804.897	7148.12	0	4963.36	61476.8	73588.3
203	804.897	7103.26	0	4927.92	61476.8	73508
204	804.897	7094.8	0	4931.23	61476.8	73502.9
205	804.897	7222.37	0	4948.53	61476.8	73647.7
206	804.897	7230.69	0	4942.52	61004.4	73177.6
207	804.897	7231.57	0	4944.11	61004.4	73180.1
208	804.897	7242.39	0	4940.8	61004.4	73187.6
209	804.897	7227.12	0	4948.37	61004.4	73179.9
210	804.897	7218.35	0	4929.36	61004.4	73152.1
211	804.897	7167.36	0	4921.66	61004.4	73093.4
212	804.897	7099.29	0	4899.21	61004.4	73002.9
213	804.897	7092.05	0	4863.16	60539.3	72494.5
214	804.897	7047.25	0	4855.34	60539.3	72441.8
215	804.897	7049.05	0	4856.09	60539.3	72444.4
216	804.897	7049.73	0	4866.45	60539.3	72455.4
217	804.897	7041.42	0	4873.27	60539.3	72453.9
218	804.897	6965.5	0	4879.81	60539.3	72384.6
219	804.897	6969.04	0	4868.29	60539.3	72376.6
220	804.897	6966.69	0	4870.84	60539.3	72376.8
221	804.897	6942.73	0	4824.27	60081.2	71848.2
222	804.897	7031.52	0	4826.86	60081.2	71939.6
223	804.897	7063.37	0	4833.1	60081.2	71977.7
